log_dir= logs/pretrain_duke2market-ECN
Namespace(arch='resnet50', batch_size=128, data_dir='/data/ustc/wbq/data', dist_metric='euclidean', dropout=0.5, epochs=200, epochs_decay=10, evaluate=False, features=4096, height=256, init_1='/data/ustc/wbq/ECN-contrast/logs/pretrain_duke2market-ECN/pre_checkpoint.pth.tar', inv_alpha=0.4, inv_beta=0.07, knn=18, lmd=0.3, logs_dir='logs/pretrain_duke2market-ECN', lr=0.1, momentum=0.9, output_feature='pool5', print_freq=1, re=0.5, resume='', source='duke', target='market', weight_decay=0.0005, width=128, workers=8)
DA dataset loaded
  subset   | # ids | # images
  ---------------------------
  source train    |   702 |    16522
  target train    | 'Unknown' |    12936
  query    |   750 |     3368
  gallery  |   751 |    15913
=> Loaded checkpoint '/data/ustc/wbq/ECN-contrast/logs/pretrain_duke2market-ECN/pre_checkpoint.pth.tar'
Epoch: [0][35/129], Time 0.902 (1.062), Data 0.009 (0.036), Loss 9.126 (9.540), Prec 99.22% (99.31%), s_pid_loss: 0.1418, t_un_loss: 8.8349, loss_tri_soft: 0.5828, loss_tri: 0.0712
Epoch: [0][36/129], Time 0.904 (1.058), Data 0.009 (0.035), Loss 9.198 (9.530), Prec 98.44% (99.28%), s_pid_loss: 0.1554, t_un_loss: 8.9069, loss_tri_soft: 0.5820, loss_tri: 0.0733
Epoch: [0][37/129], Time 0.888 (1.053), Data 0.010 (0.034), Loss 9.046 (9.517), Prec 98.44% (99.26%), s_pid_loss: 0.2222, t_un_loss: 8.7550, loss_tri_soft: 0.5825, loss_tri: 0.0720
Epoch: [0][38/129], Time 0.905 (1.050), Data 0.009 (0.033), Loss 9.137 (9.507), Prec 98.44% (99.24%), s_pid_loss: 0.1477, t_un_loss: 8.8454, loss_tri_soft: 0.5836, loss_tri: 0.0700
Epoch: [0][39/129], Time 0.901 (1.046), Data 0.009 (0.033), Loss 8.923 (9.492), Prec 98.44% (99.22%), s_pid_loss: 0.1819, t_un_loss: 8.6308, loss_tri_soft: 0.5837, loss_tri: 0.0706
Epoch: [0][40/129], Time 0.889 (1.042), Data 0.010 (0.032), Loss 8.945 (9.478), Prec 99.22% (99.22%), s_pid_loss: 0.1466, t_un_loss: 8.6533, loss_tri_soft: 0.5827, loss_tri: 0.0724
Epoch: [0][41/129], Time 0.910 (1.039), Data 0.010 (0.032), Loss 9.139 (9.470), Prec 99.22% (99.22%), s_pid_loss: 0.1078, t_un_loss: 8.8465, loss_tri_soft: 0.5855, loss_tri: 0.0754
Epoch: [0][42/129], Time 0.886 (1.035), Data 0.010 (0.031), Loss 9.313 (9.466), Prec 99.22% (99.22%), s_pid_loss: 0.1388, t_un_loss: 9.0205, loss_tri_soft: 0.5858, loss_tri: 0.0761
Epoch: [0][43/129], Time 0.898 (1.032), Data 0.010 (0.031), Loss 9.012 (9.456), Prec 99.22% (99.22%), s_pid_loss: 0.1727, t_un_loss: 8.7181, loss_tri_soft: 0.5871, loss_tri: 0.0761
Epoch: [0][44/129], Time 0.931 (1.029), Data 0.009 (0.030), Loss 8.670 (9.438), Prec 99.22% (99.22%), s_pid_loss: 0.1568, t_un_loss: 8.3785, loss_tri_soft: 0.5826, loss_tri: 0.0722
